"High School summer academy focused on STEM","Pre-college summer academy focused on STEM ","Pre-college Summer Bridge program","College career services (informational, resource focused)","College career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Other, please describe","High School summer academy focused on STEM","Pre-College summer academy focused on STEM ","Pre-College Summer Bridge program","Career services (informational, resource focused)","Career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Project Participation (Check all that apply)","Other, please describe","createdAt","formSubmissionID"
"1","1","1","3","4","5","5","5","3","4","5","5","5","1","","3","3","3","5","5","5","5","5","5","5","4","3","4","1","Weekly peer meetings, Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Tue Jan 31 2023, 2:02:09 PM","RXuy1r9CBxkRgwvDhJqx"
"1","1","3","N/A","N/A","5","5","5","5","5","5","4","5","5","","1","N/A","N/A","N/A","N/A","5","5","5","5","5","5","5","5","1","Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Wed Dec 14 2022, 9:47:14 PM","Rvk2d9SFZajGvLnwtf0q"
"4","4","5","N/A","N/A","5","4","3","3","1","4","3","4","2","","1","N/A","N/A","N/A","N/A","5","4","4","5","1","1","1","5","1","TAPDINTO-STEM Orientation meeting, Weekly peer meetings, Monthly mentoring meetings","","Mon Sep 26 2022, 5:36:20 PM","SQjAIglNJyMCgyTM6zoi"
"4","4","3","5","5","5","5","5","5","3","5","4","5","5","","5","3","3","4","4","3","4","4","5","5","5","1","5","4","TAPDINTO-STEM Orientation meeting, Weekly peer meetings","","Wed Feb 15 2023, 12:46:17 PM","TsMjguVvVYK9iOnFkL7M"
"3","3","3","3","3","3","3","3","2","1","1","1","4","2","","1","1","1","1","2","1","4","1","1","1","5","1","4","1","Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Mon Jan 30 2023, 5:52:42 PM","U6AwIVXSjZesCx6YjJKO"
"3","3","3","5","5","4","3","3","4","4","3","4","5","3","","1","1","1","4","5","5","1","4","1","1","1","1","5","1","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Mon Jan 30 2023, 5:09:15 PM","UDdWdtGIiicXSUhKnN2r"
"1","1","1","1","4","4","5","1","4","1","1","3","5","1","","1","1","1","1","4","4","5","1","3","1","1","1","5","1","TAPDINTO-STEM Orientation meeting","","Wed Jan 25 2023, 6:27:54 PM","UPhgriuVrLM0ihCRgCcG"
"1","1","1","3","4","3","2","2","3","2","5","2","5","3","","1","1","1","3","4","4","5","1","4","1","1","1","5","2","true, TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings, open to peer meetings on a week by week basis","","Wed Jan 25 2023, 9:30:53 PM","UfCc4J0T1PJQRrnnxoBy"
"1","1","1","5","5","5","5","3","3","5","2","3","3","1","","1","1","1","1","1","1","1","1","5","5","3","5","5","1","TAPDINTO-STEM Orientation meeting, Weekly peer meetings, Monthly mentoring meetings","","Tue Feb 14 2023, 8:59:16 PM","Uhx2Iw4qknOaxGgtebeo"
"3","3","3","3","3","3","3","3","3","3","4","3","3","3","","4","4","1","1","1","4","4","4","2","4","3","1","2","2","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Fri Feb 17 2023, 4:09:38 PM","V7CmaosCEjWKlj1P23pC"
"1","1","1","N/A","N/A","1","1","1","1","1","1","1","1","1","","1","N/A","N/A","N/A","N/A","1","1","1","1","1","1","1","1","1","Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Wed Aug 31 2022, 2:37:03 PM","WhbaIENV8e093ATnekyJ"
"3","1","1","4","5","5","2","4","5","5","4","3","5","3","","1","1","1","4","4","3","3","3","5","4","3","3","5","3","Monthly mentoring meetings, Weekly peer meetings, TAPDINTO-STEM Orientation meeting","","Tue Jan 31 2023, 4:19:48 PM","X75b5TFH2YWE6EtUXNCS"
"5","5","3","N/A","N/A","5","5","5","5","5","5","5","4","3","","4","N/A","N/A","N/A","N/A","3","3","5","4","4","1","1","5","1","Weekly peer meetings, TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Tue Sep 20 2022, 2:30:15 AM","Xe6tX2FeNcDBukPRnsBJ"
"1","1","1","N/A","N/A","5","4","3","4","4","5","1","4","4","","1","N/A","N/A","N/A","N/A","5","4","1","1","4","4","1","5","4","Monthly mentoring meetings, Weekly peer meetings, TAPDINTO-STEM Orientation meeting","","Thu Sep 22 2022, 3:40:13 PM","YyRVHbs1B7hvqT1KZG7v"
"4","3","1","3","4","2","5","2","1","5","3","4","1","2","","5","5","1","2","2","2","3","3","2","3","4","1","2","2","Monthly mentoring meetings","","Wed Feb 01 2023, 12:23:24 PM","ZJvfgow6Zkim9mLPbgdU"
